handle,Election,text,is_retweet,original_author,date,time,in_reply_to_screen_name,is_quote_status,lang,retweet_count,favorite_count,place_full_name,place_name,place_country,source_url
DonaldTrump,2020,"I was thrilled to be back in the Great city of Charlotte, North Carolina with thousands of hardworking American Patriots who love our Country, cherish our values, respect our laws, and always put AMERICA FIRST! Thank you for a wonderful evening!! #KAG2020 https://t.co/dNJZfRsl9y",,,3/3/2020,1:34:00,,,,17404,73748,,,,
DonaldTrump,2020,RT @CBS_Herridge: READ: Letter to surveillance court obtained by CBS News questions where there will be further disciplinary action and cho…,,,1/17/2020,3:22:00,,,,7396,0,,,,
DonaldTrump,2020,"The Unsolicited Mail In Ballot Scam is a major threat to our Democracy, &amp; the Democrats know it. Almost all recent elections using this system, even though much smaller &amp;  with far fewer Ballots to count, have ended up being a disaster. Large numbers of missing Ballots &amp; Fraud!",,,9/12/2020,20:10:00,,,,23502,80527,,,,
DonaldTrump,2020,RT @MZHemingway: Very friendly telling of events here about Comey's apparent leaking to compliant media. If you read those articles and tho…,,,1/17/2020,13:13:00,,,,9081,0,,,,
DonaldTrump,2020,RT @WhiteHouse: President @realDonaldTrump announced historic steps to protect the Constitutional right to pray in public schools! https://…,,,1/17/2020,0:11:00,,,,25048,0,,,,
DonaldTrump,2020,Getting a little exercise this morning! https://t.co/fyAAcbhbgk,,,2/1/2020,16:14:00,,,,30209,285863,,,,
DonaldTrump,2020,https://t.co/4qwCKQOiOw,,,10/23/2020,4:52:00,,,,19127,130822,,,,
DonaldTrump,2020,https://t.co/VlEu8yyovv,,,10/23/2020,4:46:00,,,,20275,153446,,,,
DonaldTrump,2020,https://t.co/z5CRqHO8vg,,,10/23/2020,4:46:00,,,,14815,102150,,,,
DonaldTrump,2020,https://t.co/TQCQiDrVOB,,,10/23/2020,4:46:00,,,,35594,255804,,,,
DonaldTrump,2020,RT @EricTrump: https://t.co/NcrNdOSfIV,,,10/23/2020,4:30:00,,,,8921,0,,,,
DonaldTrump,2020,"RT @GOPChairwoman: The economic boom continues!

273K jobs added in February 

7M+ jobs added since @realDonaldTrump was elected

Unemploym…",,,3/8/2020,4:01:00,,,,8681,0,,,,
DonaldTrump,2020,RT @TomFitton: Vindman's behavior is a scandal. He should be removed from the @RealDonaldTrump White House ASAP to protect our foreign poli…,,,2/7/2020,17:35:00,,,,7679,0,,,,
DonaldTrump,2020,Thank you Elise! https://t.co/Y4Hb0zf5jk,,,1/9/2020,12:24:00,,,,11608,48510,,,,
DonaldTrump,2020,"As per your request, Joe... https://t.co/78mzcfLEsF https://t.co/AalVkSfHFi",,,10/23/2020,4:09:00,,,,79855,253761,,,,
DonaldTrump,2020,RT @marklevinshow: President Trump was outstanding.  I couldn't be prouder.  Biden was making faces and was very dishonest about some of hi…,,,10/23/2020,3:58:00,,,,21259,0,,,,
DonaldTrump,2020,"RT @RealRLimbaugh: Winning, winning, winning! @realDonaldTrump",,,10/23/2020,3:57:00,,,,19039,0,,,,
DonaldTrump,2020,The threshold identification of Ballots is turning out to be even bigger than originally anticipated. A very large number of Ballots are impacted. Stay tuned!,,,11/9/2020,19:36:00,,,,100609,493076,,,,
DonaldTrump,2020,"“I’m running as a proud Democrat, for the Senate”. Sleepy Joe Biden today. It’s only going to get worse. It is not sustainable for our County - China will own us!!!!",,,10/12/2020,22:22:00,,,,32953,142084,,,,
DonaldTrump,2020,"HUGE win today for the United States and for peace in the world. Sudan has agreed to a peace and normalization agreement with Israel! With the United Arab Emirates and Bahrain, that’s THREE Arab countries to have done so in only a matter of weeks. More will follow! https://t.co/UHB8H6oaZc",,,10/23/2020,16:55:00,,,,51830,215994,,,,
